,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Il3ra,0.029579461,0.029639604,0.051412713,0.116536185,0.097849809,0.093992926,0.101994134,0.135095805,0.117388114,0.05778579,0.024795789
Hdac6,0.014321564,0.025542019,0.038119581,0.033123273,0.03855215,0.028944664,0.027447833,0.014351373,0.022525756,0.010851217,0.018181657
Mcm5,0.108999051,0.102939837,1.130743027,0.870657325,1.07220602,1.24199748,0.807163835,0.366447061,0.455171943,0.151862755,0.089753814
Ilf2,0.355330884,0.447865784,0.679515898,0.706651747,0.669475853,0.616381168,0.557651699,0.470508844,0.341960907,0.333690763,0.280659646
Csrp2,0.005293873,0.008179847,0.160129175,0.122094668,0.150638893,0.149325505,0.104514979,0.052566215,0.036193155,0.026228223,0.02205622
Prmt1,0.454801261,0.413783818,1.155483246,0.722978234,0.866887629,0.75652349,0.743343771,0.600327909,0.568625689,0.401217848,0.332726777
Cd200,0.012673819,0.011200441,0.023893252,0.029643673,0.014949001,0.012226776,0.015880158,0.141530201,0.046839178,0.008850466,0.004247317
Sema7a,0.006072597,0.014237381,0.104767852,0.097332351,0.10887865,0.090066321,0.116985105,0.060963843,0.165815815,0.034945797,0.014596247
Hnrnpr,0.687847674,0.448034912,0.835512817,0.857976139,0.82322377,0.762506902,0.64149493,0.620726228,0.559687376,0.520689011,0.474999398
Znhit3,0.13173683,0.132892042,0.418731779,0.270240188,0.333217114,0.343833983,0.262638092,0.153446853,0.145510703,0.117246389,0.096042722
Ctnnbip1,0.005863994,0.003480915,0.114535354,0.164102465,0.147448286,0.181741789,0.124555945,0.104836524,0.104268156,0.099494219,0.168634906
Il6st,0.609486401,0.275974363,0.026202204,0.07206472,0.05277748,0.041297726,0.047029465,0.148073107,0.064219438,0.049689166,0.029700194
Tox,0.287535518,0.201390415,0.130698547,0.369046539,0.171652958,0.226451039,0.153023109,0.790809035,0.671846867,0.144029558,0.051239699
Zfp1,0.148508742,0.076446407,0.030792424,0.033839714,0.035939533,0.022057621,0.027362742,0.057061058,0.049321137,0.071182527,0.05033971
Nr4a3,0.047673676,0.182332918,0.056596555,0.093322702,0.094630621,0.089247696,0.062402692,0.149111778,0.065034308,0.174665228,0.146027192
Srrm1,0.748150885,0.885319054,1.234920382,1.133668661,1.183347821,1.111316323,1.024397373,0.984390318,0.931050181,0.945583224,0.887803018
Il21r,0.435364246,0.4980838,0.234913111,0.339396298,0.326076388,0.25016591,0.261072606,0.309138834,0.268233955,0.267750621,0.276032776
Smad4,0.408916324,0.386209697,0.195806161,0.252972633,0.218061537,0.169340998,0.18918772,0.279591084,0.26208064,0.343359798,0.417538375
Smarce1,0.434200704,0.436503053,0.741061389,0.670875013,0.746529818,0.616035819,0.667016029,0.620996237,0.465336293,0.473469287,0.472713321
Nfkbil1,0.153818503,0.094897307,0.145840049,0.164881036,0.165802419,0.154361129,0.177261755,0.206775635,0.1747199,0.125784576,0.077455215
Sap30bp,0.111755989,0.146478236,0.239057943,0.224032119,0.245839477,0.208231986,0.195641011,0.17090781,0.19306834,0.160839304,0.142805621
Tnfrsf21,0.00256497,0,0.028756071,0.00644975,0.019939195,0.024592157,0.004455854,0.015539241,0.016555389,0.003060462,0.001803549
Tlr1,0.126675427,0.085550591,0.006351691,0.007273087,0.019872608,0.007455549,0.010151464,0.072457336,0.005029104,0.020818815,0.00321977
Tnfrsf13b,0.065974295,0.033057585,0.106016375,0.108433895,0.115495548,0.1028779,0.133715212,0.204876229,0.282001436,0.126351297,0.193648979
Zranb2,0.399730146,0.302573025,0.648214221,0.449968606,0.510811865,0.604049981,0.511071444,0.478569776,0.448712915,0.327652127,0.266204864
Arntl,0.049091734,0.058085408,0.04699906,0.065787502,0.058664672,0.065302171,0.059785947,0.085429534,0.137675941,0.181399688,0.219317034
Satb1,1.591813445,1.838283896,0.629413426,0.725193679,0.757219553,0.592377305,0.662491024,0.956423879,0.795625389,1.090298176,0.972261846
